[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:16:32.631 verbose] Processed 244000 and generated 264697 boolean variables
[13:16:33.165 verbose] Processed 245000 and generated 265740 boolean variables
[13:16:33.690 verbose] Processed 246000 and generated 266787 boolean variables
[13:16:34.223 verbose] Processed 247000 and generated 267929 boolean variables
[13:16:34.743 verbose] Processed 248000 and generated 269022 boolean variables
[13:16:35.268 verbose] Processed 249000 and generated 270136 boolean variables
[13:16:35.728 verbose] Processed 250000 and generated 271290 boolean variables
[13:16:36.264 verbose] Processed 251000 and generated 272455 boolean variables
[13:16:36.730 verbose] Processed 252000 and generated 273594 boolean variables
[13:16:37.212 verbose] Processed 253000 and generated 274748 boolean variables
[13:16:37.670 verbose] Processed 254000 and generated 275867 boolean variables
[13:16:38.153 verbose] Processed 255000 and generated 276983 boolean variables
[13:16:38.631 verbose] Processed 256000 and generated 278155 boolean variables
[13:16:39.060 verbose] Processed 257000 and generated 279283 boolean variables
[13:16:39.492 verbose] Processed 258000 and generated 280434 boolean variables
[13:16:39.950 verbose] Processed 259000 and generated 281467 boolean variables
[13:16:40.425 verbose] Processed 260000 and generated 282412 boolean variables
[13:16:40.938 verbose] Processed 261000 and generated 283509 boolean variables
[13:16:41.447 verbose] Processed 262000 and generated 284680 boolean variables
[13:16:41.987 verbose] Processed 263000 and generated 285931 boolean variables
[13:16:42.517 verbose] Processed 264000 and generated 287089 boolean variables
[13:16:43.042 verbose] Processed 265000 and generated 288122 boolean variables
